url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://jobs.smartrecruiters.com/freshworks/744000144463069-lead-software-engineer-systems	2026-09-07	smartrecruiters-api	Lead Software Engineer - Systems	Freshworks	added	Chennai, , India					freshworks
https://jobs.smartrecruiters.com/freshworks/744000144452829-lead-software-engineer-machine-learning	2026-09-07	smartrecruiters-api	Lead Software Engineer - Machine Learning	Freshworks	added	Hyderabad, , India					freshworks
https://jobs.smartrecruiters.com/freshworks/744000143743519-lead-data-platform-engineering	2026-09-07	smartrecruiters-api	Lead - Data Platform Engineering	Freshworks	added	Chennai, , India					freshworks
https://jobs.smartrecruiters.com/freshworks/744000143102264-specialist-data-platform-engineering	2026-09-07	smartrecruiters-api	Specialist - Data Platform Engineering	Freshworks	added	Chennai, , India					freshworks
https://jobs.smartrecruiters.com/freshworks/744000137424679-lead-software-engineer-full-stack	2026-09-07	smartrecruiters-api	Lead Software Engineer - Full Stack	Freshworks	added	Hyderabad, , India					freshworks
https://jobs.smartrecruiters.com/freshworks/744000135652534-lead-software-engineer-full-stack	2026-09-07	smartrecruiters-api	Lead Software Engineer - Full Stack	Freshworks	added	Chennai, , India					freshworks
https://jobs.smartrecruiters.com/freshworks/744000134600339-senior-staff-software-engineer-full-stack	2026-09-07	smartrecruiters-api	Senior Staff Software Engineer - Full Stack	Freshworks	added	Hyderabad, , India					freshworks
https://jobs.smartrecruiters.com/sandisk/744000143035295-senior-software-engineer-software-development-engineering-apps-5-9-years-jira	2026-09-07	smartrecruiters-api	Senior Software Engineer , Software Development Engineering (Apps) ( 5-9 years) - Jira	SanDisk	added	Bangalore, , India					sandisk
https://jobs.smartrecruiters.com/sandisk/744000137948229-staff-software-engineer-development-firmware-ufs-validation-with-c-and-c-experience-9-to-14-years-only	2026-09-07	smartrecruiters-api	Staff Software Engineer - Development ( Firmware, UFS validation with C and C++ experience) 9 to 14 years Only	SanDisk	added	Bengaluru, KA, India					sandisk
https://www.rubrik.com/company/careers/departments/job.7956920?gh_jid=7956920	2026-09-07	greenhouse-api	Senior Software Engineer - CPD (IAM)	Rubrik	added	Bengaluru	3d58d413be0250a9	2026-09-01			rubrik
https://jobs.smartrecruiters.com/servicenow/744000147592179-senior-manager-data-platform-engineering-kubernetes-distributed-systems	2026-09-07	smartrecruiters-api	Senior Manager, Data Platform Engineering - Kubernetes - Distributed Systems	ServiceNow	added	San Diego, CALIFORNIA, United States, Remote					servicenow
https://jobs.smartrecruiters.com/servicenow/744000147484659-staff-software-engineer-fullstack	2026-09-07	smartrecruiters-api	Staff Software Engineer- Fullstack	ServiceNow	added	Hyderabad, , India					servicenow
https://jobs.smartrecruiters.com/servicenow/744000146789639-staff-software-engineer-infrastructure	2026-09-07	smartrecruiters-api	Staff Software Engineer - Infrastructure	ServiceNow	added	Hyderabad, , India					servicenow
https://jobs.smartrecruiters.com/servicenow/744000146518464-staff-software-engineer	2026-09-07	smartrecruiters-api	Staff Software Engineer	ServiceNow	added	Hyderabad, , India					servicenow
https://jobs.smartrecruiters.com/servicenow/744000144064119-sr-staff-software-engineer	2026-09-07	smartrecruiters-api	Sr Staff Software Engineer	ServiceNow	added	Hyderabad, , India					servicenow
https://jobs.smartrecruiters.com/servicenow/744000142983469-senior-staff-software-engineer	2026-09-07	smartrecruiters-api	Senior Staff Software Engineer	ServiceNow	added	San Diego, California, United States, Remote					servicenow
https://jobs.smartrecruiters.com/servicenow/744000142555049-staff-software-engineer-moveworks	2026-09-07	smartrecruiters-api	Staff Software Engineer - Moveworks	ServiceNow	added	Bangalore, Karnataka, India					servicenow
https://jobs.smartrecruiters.com/servicenow/744000137360949-sr-staff-software-engineer-moveworks	2026-09-07	smartrecruiters-api	Sr Staff Software Engineer - Moveworks	ServiceNow	added	Bangalore, Karnataka, India					servicenow
https://broadcom.wd1.myworkdayjobs.com/External_Career/job/IND-Bangalore-Electronic-City---S1/Staff-Software-Engineer_R025888	2026-09-07	workday-api	Staff Software Engineer	Broadcom	added	IND-Bangalore Electronic City - S1		2026-09-02			broadcom
https://broadcom.wd1.myworkdayjobs.com/External_Career/job/IND-Hyderabad-115-IT-Park-Area/Staff-Software-Engineer_R026990	2026-09-07	workday-api	Staff Software Engineer	Broadcom	added	IND-Hyderabad 115 IT Park Area		2026-09-02			broadcom
https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Bangalore/Sr-Computer-Scientist--Data-Platform-Engineer-_R166812	2026-09-07	workday-api	Sr. Computer Scientist (Data Platform Engineer)	Adobe	added	Bangalore					adobe
https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Noida/Senior-DevOps-Platform-Engineer_R170207-1	2026-09-07	workday-api	Senior DevOps Platform Engineer	Adobe	added	Noida					adobe
https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Infrastructure-Platform-Engineering--SMTS--Software-Engineering-_JR356752	2026-09-07	workday-api	Infrastructure Platform Engineering (SMTS, Software Engineering)	Salesforce	added	India - Hyderabad		2026-09-07			salesforce
https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Associate-Program-Architect--Full-Stack-Developer---AI-Native-Engineering-_JR358410	2026-09-07	workday-api	Associate Program Architect (Full-Stack Developer — AI-Native Engineering)	Salesforce	added	India - Bangalore		2026-09-02			salesforce
